config,step,train_loss,val_loss,train_acc,val_acc
GQA_h8_kv2_l2_lr0.001,20,2.970625877380371,2.99253511428833,0.22776693105697632,0.22682291269302368
GQA_h8_kv2_l2_lr0.001,40,2.680253505706787,2.6971664428710938,0.24798177182674408,0.2520507872104645
GQA_h8_kv2_l2_lr0.001,60,2.5923285484313965,2.5941340923309326,0.2619791626930237,0.26988932490348816
GQA_h8_kv2_l2_lr0.001,80,2.550429344177246,2.543395757675171,0.2652994692325592,0.2645833194255829
GQA_h8_kv2_l2_lr0.001,100,2.523772954940796,2.5289642810821533,0.2657877504825592,0.2639322876930237
GQA_h8_kv4_l2_lr0.001,1,4.176096439361572,4.168751239776611,0.02578124962747097,0.02711588516831398
GQA_h8_kv4_l2_lr0.001,20,2.9212355613708496,2.9384944438934326,0.23906250298023224,0.2353515625
GQA_h8_kv4_l2_lr0.001,40,2.6801340579986572,2.6730966567993164,0.25305989384651184,0.25322264432907104
GQA_h8_kv4_l2_lr0.001,60,2.5779802799224854,2.583277463912964,0.2658854126930237,0.2666992247104645
GQA_h8_kv4_l2_lr0.001,80,2.54353928565979,2.536008358001709,0.26494139432907104,0.2718749940395355
GQA_h8_kv4_l2_lr0.001,100,2.5128183364868164,2.5139670372009277,0.27324217557907104,0.2754882872104645
GQA_h8_kv2_l2_lr0.0003,1,4.332060813903809,4.3346734046936035,0.01246744766831398,0.012369791977107525
GQA_h8_kv2_l2_lr0.0003,20,3.666271448135376,3.6823534965515137,0.16396483778953552,0.16152343153953552
GQA_h8_kv2_l2_lr0.0003,40,3.0965967178344727,3.1398420333862305,0.20201823115348816,0.19733072817325592
GQA_h8_kv2_l2_lr0.0003,60,2.9158127307891846,2.9258880615234375,0.23850911855697632,0.23987630009651184
GQA_h8_kv2_l2_lr0.0003,80,2.7907447814941406,2.826420545578003,0.24166665971279144,0.2392578125
GQA_h8_kv2_l2_lr0.0003,100,2.70953369140625,2.7357547283172607,0.25257161259651184,0.2478841096162796
GQA_h8_kv4_l2_lr0.0003,1,4.281187057495117,4.292745113372803,0.012760416604578495,0.013964843936264515
GQA_h8_kv4_l2_lr0.0003,20,3.592707633972168,3.6138319969177246,0.16435547173023224,0.16367188096046448
GQA_h8_kv4_l2_lr0.0003,40,3.1231534481048584,3.1561226844787598,0.20472005009651184,0.20185546576976776
GQA_h8_kv4_l2_lr0.0003,60,2.8986430168151855,2.9208033084869385,0.23583984375,0.23512369394302368
GQA_h8_kv4_l2_lr0.0003,80,2.7765955924987793,2.797976493835449,0.24596354365348816,0.2423502653837204
GQA_h8_kv4_l2_lr0.0003,100,2.7134251594543457,2.7224855422973633,0.24928385019302368,0.2517252564430237
GQA_h8_kv2_l4_lr0.001,1,4.1400146484375,4.151734828948975,0.03606770932674408,0.03323567658662796
GQA_h8_kv2_l4_lr0.001,20,2.8863589763641357,2.9232356548309326,0.24342447519302368,0.2425130158662796
GQA_h8_kv2_l4_lr0.001,40,2.647780418395996,2.66320538520813,0.2575846314430237,0.25240886211395264
GQA_h8_kv2_l4_lr0.001,60,2.569167137145996,2.5748064517974854,0.2628580629825592,0.26152342557907104
GQA_h8_kv2_l4_lr0.001,80,2.5416181087493896,2.534458875656128,0.2658854126930237,0.2676432430744171
GQA_h8_kv2_l4_lr0.001,100,2.5157179832458496,2.521268367767334,0.27294921875,0.2712239623069763
GQA_h8_kv4_l4_lr0.001,1,4.155753135681152,4.1660475730896,0.0362955741584301,0.03437500074505806
GQA_h8_kv4_l4_lr0.001,20,2.888216972351074,2.8843414783477783,0.24567057192325592,0.24827474355697632
GQA_h8_kv4_l4_lr0.001,40,2.643317937850952,2.664663553237915,0.2616536319255829,0.2582031190395355
GQA_h8_kv4_l4_lr0.001,60,2.573544979095459,2.5684707164764404,0.2600911557674408,0.2653971314430237
GQA_h8_kv4_l4_lr0.001,80,2.5323498249053955,2.5414397716522217,0.2681640684604645,0.2669270932674408
GQA_h8_kv4_l4_lr0.001,100,2.5062255859375,2.5358433723449707,0.27197265625,0.26451823115348816
GQA_h8_kv2_l4_lr0.0003,1,4.301344394683838,4.303046703338623,0.01731770858168602,0.01793619804084301
GQA_h8_kv2_l4_lr0.0003,20,3.363417387008667,3.3986799716949463,0.19150391221046448,0.18541666865348816
GQA_h8_kv2_l4_lr0.0003,40,2.9859397411346436,3.0205271244049072,0.23561197519302368,0.23668619990348816
GQA_h8_kv2_l4_lr0.0003,60,2.8051350116729736,2.8338394165039062,0.24169921875,0.23707681894302368
GQA_h8_kv2_l4_lr0.0003,80,2.6960649490356445,2.719273567199707,0.25328776240348816,0.25013020634651184
GQA_h8_kv2_l4_lr0.0003,100,2.6321938037872314,2.6470744609832764,0.2632487118244171,0.2593424618244171
GQA_h8_kv4_l4_lr0.0003,1,4.267406940460205,4.269104957580566,0.02197265625,0.021484375
GQA_h8_kv4_l4_lr0.0003,20,3.3355112075805664,3.3742148876190186,0.1795247346162796,0.17054036259651184
GQA_h8_kv4_l4_lr0.0003,40,3.0402867794036865,3.0431571006774902,0.22373047471046448,0.22382812201976776
GQA_h8_kv4_l4_lr0.0003,60,2.831879138946533,2.837353467941284,0.24609375,0.2431640625
GQA_h8_kv4_l4_lr0.0003,80,2.7270824909210205,2.733820676803589,0.24905599653720856,0.2511393129825592
GQA_h8_kv4_l4_lr0.0003,100,2.6335670948028564,2.6546730995178223,0.26673176884651184,0.2657226622104645
