config,step,train_loss,val_loss,train_acc,val_acc
GQA_h8_kv2_l6_lr0.03,1,3.4105632305145264,3.4188952445983887,0.1815185546875,0.17963866889476776
GQA_h8_kv2_l6_lr0.03,250,2.676093816757202,2.708404779434204,0.23967285454273224,0.23393554985523224
GQA_h8_kv2_l6_lr0.03,500,2.6121296882629395,2.614483594894409,0.25432127714157104,0.25236815214157104
GQA_h8_kv2_l6_lr0.03,750,2.5940728187561035,2.6232943534851074,0.24978026747703552,0.24238280951976776
GQA_h8_kv2_l6_lr0.03,1000,2.692150115966797,2.697819709777832,0.23811034858226776,0.24106445908546448
GQA_h8_kv2_l6_lr0.03,1250,2.724299430847168,2.7368438243865967,0.22770996391773224,0.22585448622703552
GQA_h8_kv2_l6_lr0.03,1500,2.704192638397217,2.7130935192108154,0.23366698622703552,0.23032227158546448
GQA_h8_kv2_l6_lr0.03,1750,2.666928291320801,2.6908040046691895,0.23444823920726776,0.229248046875
GQA_h8_kv2_l6_lr0.03,2000,2.67101788520813,2.6823740005493164,0.23698730766773224,0.23601074516773224
MHA_h8_l8_lr0.01,1,3.4453301429748535,3.4729461669921875,0.15388183295726776,0.15009765326976776
MHA_h8_l8_lr0.01,250,2.4229464530944824,2.4453907012939453,0.2905029356479645,0.2906250059604645
MHA_h8_l8_lr0.01,500,2.1004884243011475,2.1294960975646973,0.3788085877895355,0.3731689453125
MHA_h8_l8_lr0.01,750,1.882987380027771,2.00224232673645,0.4389404356479645,0.40666502714157104
MHA_h8_l8_lr0.01,1000,1.7465603351593018,1.9134228229522705,0.4795165956020355,0.4397949278354645
MHA_h8_l8_lr0.01,1250,1.7183479070663452,1.9020990133285522,0.4842773377895355,0.44501954317092896
MHA_h8_l8_lr0.01,1500,1.6552982330322266,1.8232141733169556,0.500683605670929,0.4574218690395355
MHA_h8_l8_lr0.01,1750,1.6474056243896484,1.827763557434082,0.5042968988418579,0.46818846464157104
MHA_h8_l8_lr0.01,2000,1.6188600063323975,1.7935879230499268,0.510571300983429,0.47160643339157104
GQA_h4_kv1_l6_lr0.1,1,4.478182792663574,4.472182273864746,0.15629883110523224,0.15529784560203552
GQA_h4_kv1_l6_lr0.1,250,3.1500191688537598,3.187023878097534,0.17424316704273224,0.17099609971046448
GQA_h4_kv1_l6_lr0.1,500,3.1258931159973145,3.1780638694763184,0.17402343451976776,0.16994628310203552
GQA_h4_kv1_l6_lr0.1,750,3.1296026706695557,3.1542437076568604,0.18161621689796448,0.17849120497703552
GQA_h4_kv1_l6_lr0.1,1000,3.125516653060913,3.151149272918701,0.17573241889476776,0.16994628310203552
GQA_h4_kv1_l6_lr0.1,1250,3.079862117767334,3.1304969787597656,0.1829833984375,0.17939452826976776
GQA_h4_kv1_l6_lr0.1,1500,3.1454668045043945,3.1777536869049072,0.1571044921875,0.15524902939796448
GQA_h4_kv1_l6_lr0.1,1750,3.158876895904541,3.174276828765869,0.16074219346046448,0.16035155951976776
GQA_h4_kv1_l6_lr0.1,2000,3.144078016281128,3.1757845878601074,0.16611328721046448,0.16423340141773224
GQA_h16_kv4_l6_lr0.03,1,3.562342405319214,3.5463931560516357,0.19125977158546448,0.193359375
GQA_h16_kv4_l6_lr0.03,250,2.5959603786468506,2.5958545207977295,0.24794921278953552,0.24946288764476776
GQA_h16_kv4_l6_lr0.03,500,2.5594940185546875,2.574768543243408,0.26020509004592896,0.25385743379592896
GQA_h16_kv4_l6_lr0.03,750,2.550261974334717,2.5631041526794434,0.26325684785842896,0.2525390684604645
GQA_h16_kv4_l6_lr0.03,1000,2.5564255714416504,2.5577874183654785,0.2632080018520355,0.2608886659145355
GQA_h16_kv4_l6_lr0.03,1250,2.5779025554656982,2.6061832904815674,0.2545166015625,0.24904784560203552
GQA_h16_kv4_l6_lr0.03,1500,2.637847661972046,2.6527180671691895,0.24404296278953552,0.23745116591453552
GQA_h16_kv4_l6_lr0.03,1750,2.6005570888519287,2.59957218170166,0.2507080137729645,0.25139158964157104
GQA_h16_kv4_l6_lr0.03,2000,2.5858633518218994,2.588547706604004,0.25187987089157104,0.2506347596645355
GQA_h8_kv1_l6_lr0.1,1,4.345947742462158,4.471876621246338,0.15156249701976776,0.14768067002296448
GQA_h8_kv1_l6_lr0.1,250,3.1128649711608887,3.140990972518921,0.16484375298023224,0.16105957329273224
GQA_h8_kv1_l6_lr0.1,500,3.0124459266662598,3.0440127849578857,0.18535156548023224,0.1817626953125
GQA_h8_kv1_l6_lr0.1,750,3.0474982261657715,3.080626964569092,0.18317870795726776,0.18112793564796448
GQA_h8_kv1_l6_lr0.1,1000,3.0083112716674805,3.038827896118164,0.186279296875,0.18059082329273224
GQA_h8_kv1_l6_lr0.1,1250,2.9813709259033203,3.0102992057800293,0.18901367485523224,0.18669433891773224
GQA_h8_kv1_l6_lr0.1,1500,3.0249860286712646,3.0500924587249756,0.18830566108226776,0.186279296875
GQA_h8_kv1_l6_lr0.1,1750,3.024554967880249,3.0696592330932617,0.19094237685203552,0.1873779296875
GQA_h8_kv1_l6_lr0.1,2000,3.0212974548339844,3.0436742305755615,0.19133301079273224,0.19033202528953552
GQA_h8_kv4_l8_lr0.01,1,3.4675960540771484,3.4683432579040527,0.19382324814796448,0.1912841796875
GQA_h8_kv4_l8_lr0.01,250,2.3932223320007324,2.4153144359588623,0.2992919981479645,0.29692381620407104
GQA_h8_kv4_l8_lr0.01,500,2.0387320518493652,2.1063458919525146,0.39580076932907104,0.3787597715854645
GQA_h8_kv4_l8_lr0.01,750,1.8606014251708984,2.003690242767334,0.44584959745407104,0.410888671875
GQA_h8_kv4_l8_lr0.01,1000,1.7625586986541748,1.8938661813735962,0.46943360567092896,0.4423828125
GQA_h8_kv4_l8_lr0.01,1250,1.726446509361267,1.868238091468811,0.47978514432907104,0.4511474668979645
GQA_h8_kv4_l8_lr0.01,1500,1.6863698959350586,1.8514190912246704,0.49089354276657104,0.4500732421875
GQA_h8_kv4_l8_lr0.01,1750,1.640517234802246,1.7799211740493774,0.5034424066543579,0.470947265625
GQA_h8_kv4_l8_lr0.01,2000,1.5943362712860107,1.7702100276947021,0.515185534954071,0.47810059785842896
GQA_h8_kv2_l8_lr0.01,1,3.4519309997558594,3.4903149604797363,0.1612548828125,0.15537109971046448
GQA_h8_kv2_l8_lr0.01,250,2.4024240970611572,2.401498317718506,0.3067382872104645,0.30632323026657104
GQA_h8_kv2_l8_lr0.01,500,2.039489269256592,2.109048843383789,0.3987060487270355,0.3825927674770355
GQA_h8_kv2_l8_lr0.01,750,1.8598712682724,1.9785702228546143,0.4467529356479645,0.4194580018520355
GQA_h8_kv2_l8_lr0.01,1000,1.740896224975586,1.9047977924346924,0.47590333223342896,0.44233399629592896
GQA_h8_kv2_l8_lr0.01,1250,1.689550757408142,1.8711494207382202,0.4927001893520355,0.4456543028354645
GQA_h8_kv2_l8_lr0.01,1500,1.635901689529419,1.8394248485565186,0.50390625,0.4610839784145355
